,status,fix_id,home_team_id,home_team_name,home_team_logo,away_team_id,away_team_nome,away_team_logo,rod_num
180,Final,206541,1055,Red Bull Bragantino,https://frontendapiapp.blob.core.windows.net/images/88x88/bragantino.png,1015,Vasco,https://frontendapiapp.blob.core.windows.net/images/88x88/vasco.png,19
181,Final,206577,1005,Flamengo,https://frontendapiapp.blob.core.windows.net/images/88x88/flamengo.png,1007,São Paulo,https://frontendapiapp.blob.core.windows.net/images/88x88/sao-paulo.png,19
182,Final,206642,1009,Atlético-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/atletico-mg.png,1250,Bahia,https://frontendapiapp.blob.core.windows.net/images/88x88/bahia.png,19
183,Final,206667,1003,Botafogo,https://frontendapiapp.blob.core.windows.net/images/88x88/botafogo.png,1018,Internacional,https://frontendapiapp.blob.core.windows.net/images/88x88/internacional.png,19
184,Final,206715,1083,Grêmio,https://frontendapiapp.blob.core.windows.net/images/88x88/gremio.png,1006,Fluminense,https://frontendapiapp.blob.core.windows.net/images/88x88/fluminense.png,19
185,Final,206758,1010,Athletico-PR,https://frontendapiapp.blob.core.windows.net/images/88x88/athletico-pr.png,1755,Cuiabá,https://frontendapiapp.blob.core.windows.net/images/88x88/cuiaba.png,19
186,Final,206768,1024,Fortaleza,https://frontendapiapp.blob.core.windows.net/images/88x88/fortaleza.png,1011,Santos,https://frontendapiapp.blob.core.windows.net/images/88x88/santos.png,19
187,Final,206817,1085,América-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/america-mg.png,1014,Goiás,https://frontendapiapp.blob.core.windows.net/images/88x88/goias.png,19
188,Final,206508,1007,São Paulo,https://frontendapiapp.blob.core.windows.net/images/88x88/sao-paulo.png,1003,Botafogo,https://frontendapiapp.blob.core.windows.net/images/88x88/botafogo.png,20
189,Final,206530,1011,Santos,https://frontendapiapp.blob.core.windows.net/images/88x88/santos.png,1083,Grêmio,https://frontendapiapp.blob.core.windows.net/images/88x88/gremio.png,20
190,Final,206564,1015,Vasco,https://frontendapiapp.blob.core.windows.net/images/88x88/vasco.png,1009,Atlético-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/atletico-mg.png,20
191,Final,206611,1006,Fluminense,https://frontendapiapp.blob.core.windows.net/images/88x88/fluminense.png,1085,América-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/america-mg.png,20
192,Final,206614,1017,Cruzeiro,https://frontendapiapp.blob.core.windows.net/images/88x88/cruzeiro.png,1004,Corinthians,https://frontendapiapp.blob.core.windows.net/images/88x88/corinthians.png,20
193,Final,206674,1250,Bahia,https://frontendapiapp.blob.core.windows.net/images/88x88/bahia.png,1055,Red Bull Bragantino,https://frontendapiapp.blob.core.windows.net/images/88x88/bragantino.png,20
194,Final,206689,1755,Cuiabá,https://frontendapiapp.blob.core.windows.net/images/88x88/cuiaba.png,1012,Palmeiras,https://frontendapiapp.blob.core.windows.net/images/88x88/palmeiras.png,20
195,Final,206741,1014,Goiás,https://frontendapiapp.blob.core.windows.net/images/88x88/goias.png,1010,Athletico-PR,https://frontendapiapp.blob.core.windows.net/images/88x88/athletico-pr.png,20
196,Final,206800,1018,Internacional,https://frontendapiapp.blob.core.windows.net/images/88x88/internacional.png,1024,Fortaleza,https://frontendapiapp.blob.core.windows.net/images/88x88/fortaleza.png,20
197,Final,206828,1008,Coritiba,https://frontendapiapp.blob.core.windows.net/images/88x88/coritiba.png,1005,Flamengo,https://frontendapiapp.blob.core.windows.net/images/88x88/flamengo.png,20
